ID,EmployeeNumber,FirstName,LastName,Email,CostCenter,Country_code,Active,Manager_ID
00000000-0000-0000-0000-000000000001,TST001,User,Admin,admin@company.com,AD000,DE,true,
00000000-0000-0000-0000-000000000002,TST002,User,Manager,manager@company.com,IT000,DE,true,
00000000-0000-0000-0000-000000000003,TST003,User,Employee,employee@company.com,IT000,DE,true,
00000000-0000-0000-0000-000000000004,TST004,User,Finance,finance@company.com,IT000,DE,true,
00000000-0000-0000-0000-000000000005,TST005,User,IT,it@company.com,IT000,DE,true,

11111111-1111-1111-1111-111111111111,MGR001,Alice,Manager,alice.manager@company.com,CC100,DE,true,
22222222-2222-2222-2222-222222222222,MGR002,Bob,Manager,bob.manager@company.com,CC200,US,true,

aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,EMP001,John,Doe,john.doe@company.com,CC101,DE,true,11111111-1111-1111-1111-111111111111
bbbbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbbb,EMP002,Jane,Smith,jane.smith@company.com,CC101,DE,true,11111111-1111-1111-1111-111111111111
cccccccc-cccc-cccc-cccc-cccccccccccc,EMP003,Mark,Brown,mark.brown@company.com,CC101,DE,true,11111111-1111-1111-1111-111111111111
dddddddd-dddd-dddd-dddd-dddddddddddd,EMP004,Lisa,White,lisa.white@company.com,CC101,DE,true,11111111-1111-1111-1111-111111111111

eeeeeeee-eeee-eeee-eeee-eeeeeeeeeeee,EMP005,Tom,Green,tom.green@company.com,CC201,US,true,22222222-2222-2222-2222-222222222222
ffffffff-ffff-ffff-ffff-ffffffffffff,EMP006,Sara,Black,sara.black@company.com,CC201,US,true,22222222-2222-2222-2222-222222222222
gggggggg-gggg-gggg-gggg-gggggggggggg,EMP007,Kevin,Gray,kevin.gray@company.com,CC201,US,true,22222222-2222-2222-2222-222222222222
